run_id,kappa,concentration,mu,outside_mid_ratio,delta_passive,delta_active,trading_effect,trading_relief_ratio,dealer_trade_count,trader_dealer_trade_count,n_traders_using_dealer,total_face_traded,total_cash_volume,dealer_active_fraction,dealer_empty_fraction,vbt_usage_fraction,mean_debt_to_money,final_debt_to_money,debt_shrink_rate,frac_defaulted_that_traded,frac_repaid_that_traded
balanced_active_1803b5543cbe,0.25,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.000634920634920625,0.0,1.0,,0.0
balanced_active_b989bfa78007,0.25,0.2,0.25,1.0,0.966395519402587,1.0,-0.0336044805974129,-0.0347730095211811,2,2,2,8.0,8.0,0.0,1.0,0.0,0.0022857117057258503,0.0020317408717692,0.2,,
balanced_active_91b27551f631,0.25,0.2,0.5,1.0,1.0,1.0,0.0,0.0,2,2,2,582.0,582.0,0.0,1.0,0.0,0.00228684687481335,0.0020340112099442,0.2,,
balanced_active_14aa711196d1,0.25,0.2,0.75,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0009235209235209092,0.0,1.0,,0.0
balanced_active_300f111c7d72,0.25,0.2,1.0,1.0,0.872849713295106,0.872849713295106,0.0,0.0,2,2,2,132.0,132.0,0.0,1.0,0.0,0.002032042590353633,0.0015241908134479,0.4,,0.0
balanced_active_41803e93f627,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.000634920634920625,0.0,1.0,,0.0
balanced_active_f6d9f090be28,0.25,0.5,0.25,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0010582010582010418,0.0,1.0,,0.0
balanced_active_4134a5e35c69,0.25,0.5,0.5,1.0,0.8345669133826765,1.0,-0.1654330866173234,-0.1982262703739213,2,2,2,1004.0,1004.0,0.0,1.0,0.0,0.0022870033368162504,0.00203432413395,0.2,,
balanced_active_a8d2f193e6bc,0.25,0.5,0.75,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0009235209235209092,0.0,1.0,,0.0
balanced_active_37f39bf6776f,0.25,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.001172161172161154,0.0,1.0,,0.0
balanced_active_e609f2b34c54,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.000634920634920625,0.0,1.0,,0.0
balanced_active_aebcaf26d260,0.25,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0010582010582010418,0.0,1.0,,0.0
balanced_active_0c42b6b6e2b1,0.25,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0010582010582010418,0.0,1.0,,0.0
balanced_active_1567e8a5c8cf,0.25,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0009235209235209092,0.0,1.0,,0.0
balanced_active_7c443aa28f58,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.001172161172161154,0.0,1.0,,0.0
balanced_active_b288fa159885,0.25,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.000634920634920625,0.0,1.0,,0.0
balanced_active_5844ed242c39,0.25,2.0,0.25,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0010582010582010418,0.0,1.0,,0.0
balanced_active_84dfeb0e915a,0.25,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0010582010582010418,0.0,1.0,,0.0
balanced_active_744d4f8ecd8a,0.25,2.0,0.75,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0009235209235209092,0.0,1.0,,0.0
balanced_active_b47ae0212505,0.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.001172161172161154,0.0,1.0,,0.0
balanced_active_5da601867f68,0.25,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.000634920634920625,0.0,1.0,,0.0
balanced_active_78e0266395c8,0.25,5.0,0.25,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0010582010582010418,0.0,1.0,,0.0
balanced_active_7bbb12d2b1db,0.25,5.0,0.5,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0010582010582010418,0.0,1.0,,0.0
balanced_active_77e955149f86,0.25,5.0,0.75,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0009235209235209092,0.0,1.0,,0.0
balanced_active_86d660712087,0.25,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.001172161172161154,0.0,1.0,,0.0
balanced_active_545a16a1150b,0.5,0.2,0.0,1.0,1.0,1.0,0.0,0.0,3,2,2,7613.0,6851.7,0.0,1.0,0.0,0.0024242424242424,0.0,1.0,,0.0
balanced_active_bd9aa6341fdb,0.5,0.2,0.25,1.0,0.7211147409827321,0.7211147409827321,0.0,0.0,2,2,2,6170.0,6170.0,0.0,1.0,0.0,0.0034332565718017826,0.0019688818227907,0.6,,0.14295959837437247
balanced_active_6be08849dd69,0.5,0.2,0.5,1.0,0.6680890785438058,0.6680890785438058,0.0,0.0,2,2,2,6520.0,6520.0,0.0,1.0,0.0,0.0029460658279669375,0.0009852653565921,0.8,,0.14282844515869828
balanced_active_587023f39aac,0.5,0.2,0.75,1.0,0.6369940654797626,1.0,-0.3630059345202373,-0.5698733382183607,2,2,2,144.0,144.0,0.0,1.0,0.0,0.0043642853961942,0.0038800859439036,0.2,,
balanced_active_751ba9ed60f2,0.5,0.2,1.0,1.0,0.9666644442962864,0.9666644442962864,0.0,0.0,2,2,2,0.0,0.0,0.0,1.0,0.0,0.003878771423443766,0.0029090697522199,0.4,,0.0
balanced_active_42a4bef65d9c,0.5,0.5,0.0,1.0,0.9987998399786638,0.9987998399786638,0.0,0.0,2,2,2,36.0,36.0,0.0,1.0,0.0,0.0024242424242424,0.0,1.0,,0.0
balanced_active_902794fb60ad,0.5,0.5,0.25,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0020202020202019833,0.0,1.0,,0.0
balanced_active_d153e9b786d5,0.5,0.5,0.5,1.0,0.3309995332399813,0.3309995332399813,0.0,0.0,2,1,1,45.0,40.5,0.0,1.0,0.0,0.0033945538772382,0.001939854801868,0.6,,0.4647662713046945
balanced_active_96b7b2038248,0.5,0.5,0.75,1.0,0.7234297906387518,0.7234297906387518,0.0,0.0,2,2,2,3874.0,3874.0,0.0,1.0,0.0,0.0029391427572320003,0.0009835670534544,0.8,,0.12415621986499518
balanced_active_1f375311f4ec,0.5,0.5,1.0,1.0,0.7924918316996732,0.885377075415083,-0.0928852437154097,-0.1172065628944047,2,2,2,4718.0,4718.0,0.0,1.0,0.0,0.004409038883365499,0.0039695929182462,0.2,,1.0
balanced_active_3e4ad37c727d,0.5,1.0,0.0,1.0,0.0,0.1667000066680002,-0.1667000066680002,0.0,3,2,2,1203.0,1082.7,0.0,1.0,0.0,0.0024242424242424,0.0,1.0,,0.8081939665519725
balanced_active_aaf90b3988ed,0.5,1.0,0.25,1.0,0.9525936791572208,1.0,-0.047406320842779,-0.0497655211031007,2,2,2,422.0,422.0,0.0,1.0,0.0,0.0043656036096375,0.0038827223707902,0.2,,
balanced_active_914ec3c90338,0.5,1.0,0.5,1.0,0.8056815150706855,0.8056815150706855,0.0,0.0,2,2,2,3168.0,3168.0,0.0,1.0,0.0,0.00392038683881385,0.0029544715927556,0.4,,1.0
balanced_active_e30efcc2b536,0.5,1.0,0.75,1.0,0.6827365473094618,0.8911115556444622,-0.2083750083350003,-0.3052055864830549,2,2,2,5152.0,5152.0,0.0,1.0,0.0,0.00440061000884945,0.0039527351692141,0.2,,1.0
balanced_active_5c07f2d93501,0.5,1.0,1.0,1.0,0.6860038674401546,0.0,0.6860038674401546,1.0,2,2,2,2748.0,2748.0,0.0,1.0,0.0,0.002262943688187608,0.0,1.0,,0.5208375008335
balanced_active_2ed19b042237,0.5,2.0,0.0,1.0,0.0,0.9537271636218162,-0.9537271636218162,0.0,2,2,2,3918.0,3918.0,0.0,1.0,0.0,0.0024242424242424,0.0,1.0,,0.0
balanced_active_e33d279f07ff,0.5,2.0,0.25,1.0,0.0,0.0,0.0,0.0,2,2,2,4170.0,4170.0,0.0,1.0,0.0,0.0020450943216873334,0.0,1.0,,0.5032004267235631
balanced_active_afde2108bc42,0.5,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0020202020202019833,0.0,1.0,,0.0
balanced_active_ac04fa8fa610,0.5,2.0,0.75,1.0,0.5306040805440725,0.1491532204293905,0.3814508601146819,0.7188992209097763,2,2,2,2474.0,2474.0,0.0,1.0,0.0,0.0029281950659307,0.0009785142728538,0.8,,0.5527779954549017
balanced_active_acfc53c3a692,0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2,2,2,5138.0,5138.0,0.0,1.0,0.0,0.0022612827231814465,0.0,1.0,,0.5265719810628793
balanced_active_19e837d7dc27,0.5,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0012121212121212,0.0,1.0,,0.0
balanced_active_6137c6b5d7b1,0.5,5.0,0.25,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0020202020202019833,0.0,1.0,,0.0
balanced_active_ea5544d35d8a,0.5,5.0,0.5,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0020202020202019833,0.0,1.0,,0.0
balanced_active_e53e3aa37de8,0.5,5.0,0.75,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0017630853994489999,0.0,1.0,,0.0
balanced_active_d1ce02ab9722,0.5,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.002237762237762215,0.0,1.0,,0.0
balanced_active_20799ffc0af1,1.0,0.2,0.0,1.0,0.8282437658354447,0.8282437658354447,0.0,0.0,5,4,4,10145.0,9130.5,0.0,1.0,0.0,0.0044444444444444,0.0,1.0,,0.8039596273291926
balanced_active_c146b693984a,1.0,0.2,0.25,1.0,0.8979197226296839,0.9665288705160688,-0.0686091478863848,-0.0764089997772332,4,2,2,5901.0,5015.849999999999,0.0,1.0,0.0,0.0069897647820993,0.0050906406753098,0.3,,0.0
balanced_active_a4b3a2f34b9c,1.0,0.2,0.5,1.0,0.8246432857714361,0.8246432857714361,0.0,0.0,2,2,2,0.0,0.0,0.0,1.0,0.0,0.004444397037669081,0.0,1.0,,0.19809885931558935
balanced_active_7038af36db61,1.0,0.2,0.75,1.0,1.0,1.0,0.0,0.0,4,3,3,6183.0,6027.0,0.0,1.0,0.0,0.00723158457985955,0.0055742802708303,0.3,,
balanced_active_5e36ea6d5dd9,1.0,0.2,1.0,1.0,0.7427657020936124,1.0,-0.2572342979063875,-0.3463195691202872,2,2,2,1248.0,1248.0,0.0,1.0,0.0,0.008019671694826501,0.0071504545007642,0.2,,
balanced_active_21a7b26c62c5,1.0,0.5,0.0,1.0,0.8209761301506867,0.8209761301506867,0.0,0.0,3,2,2,2685.0,2416.5,0.0,1.0,0.0,0.0044444444444444,0.0,1.0,,0.8916201117318435
balanced_active_5e9332a4a02a,1.0,0.5,0.25,1.0,0.363581810908121,1.0,-0.6364181890918789,-1.750412616908124,5,5,4,12225.0,11495.25,0.0,1.0,0.0,0.0065495266391329,0.004210164389377,0.4,,
balanced_active_fe7299281260,1.0,0.5,0.5,1.0,0.9437258301106815,0.9437258301106815,0.0,0.0,4,2,2,1927.0,1576.0,0.0,1.0,0.0,0.00739835500003275,0.0059078211111767,0.3,,0.0
balanced_active_ae56251c4605,1.0,0.5,0.75,1.0,1.0,1.0,0.0,0.0,4,3,3,157.0,137.65,0.0,1.0,0.0,0.0075592310036954,0.006229573118502,0.3,,
balanced_active_40a2695c4a64,1.0,0.5,1.0,1.0,1.0,0.7031406281256251,0.2968593718743748,0.2968593718743748,5,4,3,13828.0,13588.6,0.0,1.0,0.0,0.007181026883013,0.0054731648771372,0.3,,1.0
balanced_active_b58eedeed006,1.0,1.0,0.0,1.0,0.96165899846636,0.96165899846636,0.0,0.0,4,4,4,6285.0,5771.5,0.0,1.0,0.0,0.0044444444444444,0.0,1.0,,0.0
balanced_active_f097077f3250,1.0,1.0,0.25,1.0,0.4738631817575676,0.8972529670622749,-0.4233897853047072,-0.893485296186858,5,4,4,4663.0,4384.25,0.0,1.0,0.0,0.0068842176268642,0.0048795463648396,0.4,,0.0
balanced_active_41ec547917aa,1.0,1.0,0.5,1.0,1.0,0.7304486965797719,0.269551303420228,0.269551303420228,6,5,4,13772.0,12803.7,0.0,1.0,0.0,0.0065476818526249,0.004206474816361,0.4,,1.0
balanced_active_525c5d9f458c,1.0,1.0,0.75,1.0,0.8441021537640861,0.9189837967593518,-0.0748816429952657,-0.0887115885930958,6,5,4,7265.0,7202.700000000001,0.0,1.0,0.0,0.005917938209540334,0.0040902221195122,0.5,,0.0
balanced_active_7683aab6ab63,1.0,1.0,1.0,1.0,1.0,0.7297459491898379,0.270254050810162,0.270254050810162,5,3,3,6303.0,5232.799999999999,0.0,1.0,0.0,0.006675071448910601,0.0044612540089324,0.4,,1.0
balanced_active_edbfc6a1f487,1.0,2.0,0.0,1.0,0.6940925456727562,0.6940925456727562,0.0,0.0,4,4,4,8284.0,7718.4,0.0,1.0,0.0,0.0044444444444444,0.0,1.0,,0.7136006974716652
balanced_active_bec176208ce5,1.0,2.0,0.25,1.0,1.0,0.7322797892911915,0.2677202107088084,0.2677202107088084,6,5,4,11752.0,10793.0,0.0,1.0,0.0,0.0061526567319570005,0.0034164245750252,0.5,,1.0
balanced_active_d4dee9b6baab,1.0,2.0,0.5,1.0,0.845179357247633,0.8118415788771836,0.0333377783704493,0.0394446197538655,6,5,4,10118.0,9223.650000000001,0.0,1.0,0.0,0.006199916543556,0.0035109441982232,0.5,,1.0
balanced_active_2de0b43a2264,1.0,2.0,0.75,1.0,1.0,0.7584850303394012,0.2415149696605987,0.2415149696605987,6,5,5,14037.0,13249.45,0.0,1.0,0.0,0.00607559196760125,0.0032622950463137,0.5,,1.0
balanced_active_269c3b0edafc,1.0,2.0,1.0,1.0,0.7360805494432219,0.8889777955591118,-0.1528972461158898,-0.2077180904067397,6,5,4,12421.0,10940.100000000002,0.0,1.0,0.0,0.0061081487930902505,0.0033274086972917,0.5,,0.0
balanced_active_c365f3db463f,1.0,5.0,0.0,1.0,0.0,0.1000133351113481,-0.1000133351113481,0.0,5,4,4,7954.0,7158.6,0.0,1.0,0.0,0.0044444444444444,0.0,1.0,,0.907097347755223
balanced_active_0f463382545e,1.0,5.0,0.25,1.0,1.0,0.8249099879983997,0.1750900120016002,0.1750900120016002,5,3,3,5259.0,4562.65,0.0,1.0,0.0,0.0067321443083898005,0.0045753997278908,0.4,,1.0
balanced_active_b965955064c2,1.0,5.0,0.5,1.0,1.0,0.779303907187625,0.2206960928123749,0.2206960928123749,5,3,3,6000.0,5157.15,0.0,1.0,0.0,0.00668131263015165,0.0044737363714145,0.4,,1.0
balanced_active_74c8a7c54aa7,1.0,5.0,0.75,1.0,1.0,1.0,0.0,0.0,6,6,4,16237.0,15296.55,0.0,1.0,0.0,0.00663762730106505,0.0043863657132413,0.4,,
balanced_active_2accb5c7250c,1.0,5.0,1.0,1.0,1.0,0.7869049206560874,0.2130950793439125,0.2130950793439125,6,4,4,10349.0,9038.900000000001,0.0,1.0,0.0,0.0060729860474396,0.0032570832059904,0.5,,1.0
balanced_active_578f4bffa16c,2.0,0.2,0.0,1.0,0.9902647196105888,0.9902647196105888,0.0,0.0,5,4,4,11549.0,10394.1,0.0,1.0,0.0,0.0076190476190476,0.0,1.0,,0.0
balanced_active_af18c90d70e1,2.0,0.2,0.25,1.0,0.9666622216295506,0.9666622216295506,0.0,0.0,6,4,4,8313.0,7373.95,0.0,1.0,0.0,0.01005859561959405,0.0048790960010929,0.5,,0.0
balanced_active_ca971feb72b0,2.0,0.2,0.5,1.0,0.9203173968126958,0.8869773954790958,0.0333400013336,0.0362266338211853,6,5,4,19736.0,19302.949999999997,0.0,1.0,0.0,0.01036522528301155,0.0054923553279279,0.4,,1.0
balanced_active_b67ed249ca9f,2.0,0.2,0.75,1.0,1.0,1.0,0.0,0.0,2,1,1,450.0,382.5,0.0,1.0,0.0,0.013777963034043,0.0123178308299908,0.2,,
balanced_active_ef3d324ed0ca,2.0,0.2,1.0,1.0,0.927052077082083,1.0,-0.0729479229179169,-0.0786880529382147,5,4,4,8396.0,6754.4,0.0,1.0,0.0,0.0106691299712711,0.006100164704447,0.4,,
balanced_active_f322dde06506,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,4,4,4,10395.0,9367.5,0.0,1.0,0.0,0.0076190476190476,0.0,1.0,,
balanced_active_5723861c2950,2.0,0.5,0.25,1.0,0.9383251100146686,0.9383251100146686,0.0,0.0,6,4,4,8323.0,7409.05,0.0,1.0,0.0,0.01015733557766335,0.0050765759172315,0.5,,1.0
balanced_active_8d6a5d2b60ef,2.0,0.5,0.5,1.0,0.8949123157964926,0.8949123157964926,0.0,0.0,4,2,2,70.0,62.849999999999994,0.0,1.0,0.0,0.008959449098593837,0.0030507569690729,0.8,,0.0
balanced_active_355c59d4dc25,2.0,0.5,0.75,1.0,1.0,0.724696626216829,0.275303373783171,0.275303373783171,6,5,4,13106.0,12235.449999999999,0.0,1.0,0.0,0.0106015329738018,0.0059649707095084,0.4,,1.0
balanced_active_f49828849490,2.0,0.5,1.0,1.0,1.0,0.8190425390052006,0.1809574609947993,0.1809574609947993,6,4,4,10131.0,8883.2,0.0,1.0,0.0,0.009980621970460849,0.0047231487028265,0.5,,1.0
balanced_active_e8c91f9366c3,2.0,1.0,0.0,1.0,0.9809307907721028,0.9809307907721028,0.0,0.0,3,2,2,6437.0,5793.299999999999,0.0,1.0,0.0,0.0076190476190476,0.0,1.0,,0.0
balanced_active_50a91efda302,2.0,1.0,0.25,1.0,0.9433886777355472,0.910048676401947,0.0333400013336,0.035340684195646,5,3,3,9792.0,7923.050000000001,0.0,1.0,0.0,0.01058740248257335,0.0059367097270515,0.4,,1.0
balanced_active_ac2021f906db,2.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,6,4,4,9806.0,8338.25,0.0,1.0,0.0,0.0100428943931499,0.0048476935482046,0.5,,
balanced_active_48f11bd344b0,2.0,1.0,0.75,1.0,0.947259634617949,0.9139218562474996,0.0333377783704493,0.0351939184908847,7,5,5,12498.0,10791.95,0.0,1.0,0.0,0.00935211858469305,0.0034661419312909,0.6,,1.0
balanced_active_a2d76090d3a9,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6,4,4,5875.0,4982.35,0.0,1.0,0.0,0.0105141717474946,0.005790248256894,0.5,,
balanced_active_a9255822ef1a,2.0,2.0,0.0,1.0,1.0,0.8789757951590318,0.1210242048409681,0.1210242048409681,5,4,4,11105.0,9994.5,0.0,1.0,0.0,0.0076190476190476,0.0,1.0,,1.0
balanced_active_62b5e3886e8a,2.0,2.0,0.25,1.0,1.0,1.0,0.0,0.0,7,5,5,12497.0,10754.0,0.0,1.0,0.0,0.0093549728816786,0.003471850525262,0.6,,
balanced_active_2729506d10a3,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,6,4,4,6994.0,6045.15,0.0,1.0,0.0,0.0103461666359757,0.0054542380338562,0.5,,
balanced_active_ac23b38b3df7,2.0,2.0,0.75,1.0,1.0,0.7364806294592251,0.2635193705407748,0.2635193705407748,7,5,5,12497.0,10897.4,0.0,1.0,0.0,0.00934427001099655,0.0034504447838979,0.6,,1.0
balanced_active_9635a206f96d,2.0,2.0,1.0,1.0,1.0,0.8065613122624524,0.1934386877375475,0.1934386877375475,6,4,4,8613.0,7491.200000000001,0.0,1.0,0.0,0.0101466852299582,0.0050552752218212,0.5,,1.0
balanced_active_6149e0c9f92d,2.0,5.0,0.0,1.0,0.803640485398053,0.803640485398053,0.0,0.0,6,5,5,12498.0,11248.2,0.0,1.0,0.0,0.0076190476190476,0.0,1.0,,1.0
balanced_active_6e7f7e6d4701,2.0,5.0,0.25,1.0,1.0,1.0,0.0,0.0,7,5,5,12497.0,10756.45,0.0,1.0,0.0,0.0093547469033609,0.0034713985686266,0.6,,
balanced_active_7ae346cf94c1,2.0,5.0,0.5,1.0,1.0,0.8203093745832777,0.1796906254167222,0.1796906254167222,7,5,5,12498.0,10778.3,0.0,1.0,0.0,0.00935316670100495,0.0034682381639147,0.6,,1.0
balanced_active_37c6eaa821f0,2.0,5.0,0.75,1.0,0.9184612307487164,0.885125675045003,0.0333355557037135,0.0362950058072009,7,5,5,12499.0,10783.7,0.0,1.0,0.0,0.0093527194999732,0.0034673437618512,0.6,,1.0
balanced_active_77260cc825f2,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,7,5,5,12497.0,10685.1,0.0,1.0,0.0,0.00936010709726655,0.0034821189564379,0.6,,
balanced_active_2d4666d7a4b4,4.0,0.2,0.0,1.0,1.0,1.0,0.0,0.0,5,4,4,12345.0,11110.5,0.0,1.0,0.0,0.01185185185185185,0.0,1.0,,
